order_id,customer_unique_id,customer_state,payment_type,payment_installments,product_category,total_order_value,total_price,total_freight,delivery_delta,delivery_speed_days,is_late,predicted_low_probability,predicted_high_probability,predicted_risk_band,segment,segment_label,delay_days,risk_pct,value_tier,recommended_coupon_pct,campaign_reason,apology_style
74ad3397d84521ee94f326aad1a35d14,207abcf5e65e72037f216db0540406e4,RJ,boleto,1.0,furniture_decor,189.51,140.0,49.51,-31.0,54.0,1,0.9811123,0.018887697,high,1,late-delivery risk | satisfaction risk,31,98.1,high,25,late_delivery_high_risk,white_glove
21adb757aaef1f7f6240352b33d30e5a,7a41a033d1171fe68f363c2a2c16d448,RN,boleto,1.0,office_furniture,206.57,154.99,51.58,-27.0,70.0,1,0.98005533,0.019944647,high,1,late-delivery risk | satisfaction risk,27,98.0,high,25,late_delivery_high_risk,white_glove
45b0a671da62d1c868294b22b4837dca,fe612e4c139f4350d17f1b9f5cbbe3f0,RJ,credit_card,2.0,computers_accessories,189.37,149.0,40.37,-28.0,54.0,1,0.9797949,0.020205095,high,1,late-delivery risk | satisfaction risk,28,98.0,high,25,late_delivery_high_risk,white_glove
942e1205a3ca6fd0147718ac16f4bb54,623d392cefd1e9b743242b556b6bb0ef,RJ,boleto,1.0,office_furniture,193.19,149.94,43.25,-29.0,51.0,1,0.97710025,0.022899734,high,1,late-delivery risk | satisfaction risk,29,97.7,high,25,late_delivery_high_risk,white_glove
9d3c48c87bfb7e8b574b4d375f882841,93f4d868403d413b5bbbe193cbfef981,MG,credit_card,1.0,bed_bath_table,188.4,159.9,28.5,-34.0,60.0,1,0.9766966,0.02330336,high,1,late-delivery risk | satisfaction risk,34,97.7,high,25,late_delivery_high_risk,white_glove
03ea231452f07988edc699573fb971d7,6f40da67e9ca1ffe08bbbc2fb761e75a,SP,credit_card,1.0,furniture_living_room,255.96,207.94,48.02,-29.0,49.0,1,0.97532517,0.024674809,high,1,late-delivery risk | satisfaction risk,29,97.5,high,25,late_delivery_high_risk,white_glove
e74f16cd18d4e5b3dfbcc81e880430d9,989678100dbad0f75fedaa8719e17009,SP,credit_card,1.0,computers_accessories,176.71,137.9,38.81,-31.0,54.0,1,0.9750708,0.0249292,high,1,late-delivery risk | satisfaction risk,31,97.5,high,25,late_delivery_high_risk,white_glove
267519bdbe13b2f237af57f3f1b86a9e,abae4f6067389b730714209104b781dc,GO,credit_card,4.0,small_appliances,402.15999999999997,349.0,53.16,-33.0,59.0,1,0.9745425,0.025457527,high,1,late-delivery risk | satisfaction risk,33,97.5,high,25,late_delivery_high_risk,white_glove
f92ebc52a42344683b930dfb16d2f317,3f912e65396ae2aa2ea4fda9b6b4b4d1,SP,boleto,1.0,bed_bath_table,195.42000000000002,159.8,35.62,-30.0,53.0,1,0.9744189,0.02558113,high,1,late-delivery risk | satisfaction risk,30,97.4,high,25,late_delivery_high_risk,white_glove
621f567448cbf2281b22381247c491ca,45fa0446066cfc276bada622aa87ba5a,CE,boleto,1.0,baby,215.11,174.9,40.21,-37.0,71.0,1,0.97410107,0.025898913,high,1,late-delivery risk | satisfaction risk,37,97.4,high,25,late_delivery_high_risk,white_glove
79ec99878595baada166992ed3b31ff9,cade15256ac18bcaa5cabce3e701c415,PE,credit_card,2.0,sports_leisure,184.46,158.9,25.56,-28.0,54.0,1,0.97404623,0.025953783,high,1,late-delivery risk | satisfaction risk,28,97.4,high,25,late_delivery_high_risk,white_glove
38c2b634e9399138e8c5e726ddfe765d,cccea89786378fa8bec9e9bbbea8f494,RJ,boleto,1.0,food_drink,210.36,139.96,70.4,-29.0,45.0,1,0.97369,0.026310014,high,1,late-delivery risk | satisfaction risk,29,97.4,high,25,late_delivery_high_risk,white_glove
bde06a769a934fd5e54ef3a8019a4e72,dc05a2e9bff5838597c6caf8611e5f40,MA,credit_card,2.0,auto,243.71,199.9,43.81,-27.0,64.0,1,0.97309893,0.02690106,high,1,late-delivery risk | satisfaction risk,27,97.3,high,25,late_delivery_high_risk,white_glove
9d02a36395b93b35ec7f46d79ee3e8b9,a93ded3225b94e83aba36406dda9dd6f,CE,boleto,1.0,health_beauty,398.88,349.9,48.98,-32.0,69.0,1,0.9727837,0.027216319,high,1,late-delivery risk | satisfaction risk,32,97.3,high,25,late_delivery_high_risk,white_glove
70e1e65e23050b71f1357ebf72506b73,45142fbd2c23b82be7e48e35ed11bdb6,RJ,credit_card,1.0,small_appliances,201.74,179.99,21.75,-27.0,51.0,1,0.9726119,0.027388077,high,1,late-delivery risk | satisfaction risk,27,97.3,high,25,late_delivery_high_risk,white_glove
8ab08a832f16966f270a9bbffe395cfa,3cd3127e3533fe632e21af1862a51c7b,RJ,boleto,1.0,garden_tools,82.77,37.47,45.3,-29.0,57.0,1,0.97130674,0.028693259,high,1,late-delivery risk | satisfaction risk,29,97.1,medium,15,late_delivery_high_risk,standard
